Channel Group,Source,Domain,Date,Funnel,Campaign,Result type,Cost,Results,Result Rate,Cost per Result,Impressions,Clicks,CTR,Reach,Views,ThruPlays,Engagements,Engagement Rate,CPC,CPM,View Rate,CPV,CPE
 Paid Social , meta , BIODERMA ,Jul-25,Awareness,de_bio_meta_insta_acq_boosted-post_sensibio_na_awareness,Reach,€ 17,"12,049",92.20%,€ 0.00,"13,074",8,0.10%,"12,049","17,124",35,213,1.60%,€ 2.10,€ 1.28,0.20%,€ 0.00,€ 0.08
 Paid Social , meta , BIODERMA ,Jul-25,Awareness,de_bio_meta_insta_acq_boosted-post_photoderm_na_awareness,Reach,€ 36,"21,796",80.60%,€ 0.00,"27,053",2,0.00%,"21,796","28,635",52,383,1.40%,€ 17.94,€ 1.33,0.20%,€ 0.00,€ 0.09
 Paid Social , meta , BIODERMA ,Jul-25,Awareness,de_bio_meta_insta_acq_boosted-post_photoderm_x-defense_awareness,ThruPlay,€ 136,"4,411",16.00%,€ 0.03,"27,580",1,0.00%,"27,399","40,956","4,411","14,031",50.90%,€ 136.20,€ 4.94,10.80%,€ 0.00,€ 0.01
 Paid Social , meta , BIODERMA ,Jul-25,Awareness,de_bio_meta_insta_acq_darkpost_photoderm_x-defense_awareness,ThruPlay,€ 35,815,59.00%,€ 0.04,"1,382",0,0.00%,"1,318","2,647",815,894,64.70%, € -   ,€ 25.30,30.80%,€ 0.01,€ 0.04
 Paid Social , meta , BIODERMA ,Jul-25,Awareness,de_bio_meta_insta_acq_boosted-post_sensibio_na_awareness,Reach,€ 19,"13,453",89.20%,€ 0.00,"15,083",9,0.10%,"13,453","17,573",31,285,1.90%,€ 2.10,€ 1.25,0.20%,€ 0.00,€ 0.07
 Paid Social , meta , BIODERMA ,Jul-25,Awareness,de_bio_meta_insta_acq_boosted-post_photoderm_na_awareness,Reach,€ 29,"18,444",81.10%,€ 0.00,"22,751",3,0.00%,"18,444","24,975",53,407,1.80%,€ 9.68,€ 1.28,0.20%,€ 0.00,€ 0.07
 Paid Social , meta , BIODERMA ,Jul-25,Awareness,de_bio_meta_insta_acq_boosted-post_sensibio_na_awareness,Reach,€ 16,"11,877",90.00%,€ 0.00,"13,200",12,0.10%,"11,877","17,639",43,255,1.90%,€ 1.36,€ 1.24,0.20%,€ 0.00,€ 0.06
 Paid Social , meta , BIODERMA ,Jul-25,Awareness,de_bio_meta_insta_acq_boosted-post_photoderm_na_awareness,Reach,€ 26,"17,249",81.90%,€ 0.00,"21,061",2,0.00%,"17,249","22,826",33,372,1.80%,€ 13.11,€ 1.24,0.10%,€ 0.00,€ 0.07
 Paid Social , meta , BIODERMA ,Jul-25,Awareness,de_bio_meta_insta_acq_boosted-post_photoderm_x-defense_awareness,ThruPlay,€ 149,"4,756",16.80%,€ 0.03,"28,302",0,0.00%,"27,501","41,051","4,756","14,821",52.40%, € -   ,€ 5.27,11.60%,€ 0.00,€ 0.01
 Paid Social , meta , BIODERMA ,Jul-25,Awareness,de_bio_meta_insta_acq_darkpost_photoderm_x-defense_awareness,ThruPlay,€ 36,790,61.10%,€ 0.05,"1,292",0,0.00%,"1,271","2,441",790,889,68.80%, € -   ,€ 27.74,32.40%,€ 0.01,€ 0.04
