Retailer,Range,Product Name,Size,Product Type,Unit,Revenue,Δ Unit YTD %,Δ Revenue YTD %
Shop Apotheke,HYDRABIO,HYDRABIO HYALU+ SERUM,30 ml,Care,109,"€ 2,977",-9.17%,-6%
ApoDiscounter,SEBIUM,SEBIUM SENSITIVE,30 ml,Care,108,"€ 2,669",217.65%,467%
MPK,ATODERM,ATODERM GEL DOUCHE,1 l,Cleansing,108,"€ 1,574",92.86%,107%
Shop Apotheke,PIGMENTBIO,PIGMENTBIO NIGHT RENEWER,50 ml,Care,108,"€ 2,628",671.43%,671%
ApoDiscounter,SEBIUM,SEBIUM MAT CONTROL,30 ml,Care,106,"€ 2,111",-16.54%,26%
MedPex,SENSIBIO,SENSIBIO AR+ CREME,40 ml,Care,106,"€ 6,835",0.00%,0%
MedPex,SEBIUM,SEBIUM GEL MOUSSANT,500 ml,Cleansing,105,"€ 3,107",288.89%,667%
Zalando,SENSIBIO,SENSIBIO GEL MOUSSANT,100 ml,Cleansing,105,"€ 1,131",1650.00%,3042%
TNA,HYDRABIO,HYDRABIO CREAM,50 ml,Care,103,"€ 1,566",0.00%,0%
Shop Apotheke,ATODERM,ATODERM HUILE DE DOUCHE,500 ml,Cleansing,103,"€ 1,422",0.00%,0%
ApoDiscounter,SENSIBIO,SENSIBIO H2O,250 ml,Cleansing,102,"€ 4,558",920.00%,4749%
DocMorris,HYDRABIO,HYDRABIO SERUM,40 ml,Care,102,"€ 3,267",24.39%,94%
Shop Apotheke,SEBIUM,SEBIUM H2O,100 ml,Cleansing,102,€ 606,-53.21%,-53%
ApoDiscounter,ATODERM,ATODERM LEVRES,15 ml,Care,101,"€ 1,051",-9.82%,28%
MPK,SENSIBIO,SENSIBIO GEL MOUSSANT,100 ml,Cleansing,101,€ 793,13.48%,50%
Zalando,ATODERM,ATODERM CREAM ULTRA,500 ml,Care,101,"€ 3,485",2425.00%,5432%
ApoDiscounter,ATODERM,ATODERM INTENSIVE GEL-CREAM,75 ml,Care,100,€ 597,733.33%,522%
ApoDiscounter,PIGMENTBIO,PIGMENTBIO SENSITIVE AREAS,75 ml,Care,100,"€ 6,649",0.00%,0%
ApoDiscounter,ATODERM,ATODERM GEL DOUCHE,1 l,Cleansing,99,"€ 1,642",-16.10%,2%
DocMorris,CICABIO,CICABIO CREAM+ SPF 50+,30  ml,Care,99,"€ 1,821",3200.00%,5591%
MPK,PHOTODERM,PHOTODERM AQUAFLUIDE SPF 50+,40 ml,Sun Care,99,"€ 2,452",160.53%,311%
Shop Apotheke,SEBIUM,SEBIUM AKNE SET,75 ml,Multiple,99,"€ 1,474",0.00%,0%
ApoDiscounter,SENSIBIO,SENSIBIO H2O EYE,125 ml,Cleansing,98,€ 952,-24.62%,-41%
DocMorris,PHOTODERM,PHOTODERM AKN MAT SPF 30,40 ml,Sun Care,98,"€ 2,210",716.67%,963%
TNA,SENSIBIO,SENSIBIO H2O,250 ml,Cleansing,97,€ 850,0.00%,0%
DocMorris,PHOTODERM,PHOTODERM MINERAL FLUIDE SPF 50+,75 g,Sun Care,97,"€ 1,950",1516.67%,1850%
Shop Apotheke,PHOTODERM,PHOTODERM AUTOBRONZANT,150 ml,Sun Care,97,"€ 1,319",-3.00%,0%
Shop Apotheke,PIGMENTBIO,PIGMENTBIO H2O,250 ml,Cleansing,97,"€ 1,008",273.08%,273%
Zalando,SEBIUM,SEBIUM HYDRA,40 ml,Care,97,"€ 4,986",3133.33%,12365%
Zalando,SENSIBIO,SENSIBIO H2O PUMP,500 ml,Cleansing,97,"€ 1,945",1112.50%,1494%
Shop Apotheke,SEBIUM,SEBIUM NIGHT PEEL,40 ml,Care,95,"€ 1,710",-9.52%,-6%
DocMorris,ATODERM,ATODERM GEL DOUCHE,1 l,Cleansing,94,"€ 2,065",276.00%,507%
DocMorris,ATODERM,ATODERM HUILE DE DOUCHE,200 ml,Cleansing,94,€ 775,141.03%,111%
DocMorris,SEBIUM,SEBIUM SENSITIVE,30 ml,Care,94,"€ 2,863",754.55%,1784%
MedPex,SEBIUM,SEBIUM PORE REFINER,30 ml,Care,94,"€ 3,072",261.54%,688%
MPK,HYDRABIO,HYDRABIO TONIQUE,250 ml,Care,94,"€ 1,137",-6.93%,-8%
ApoDiscounter,ATODERM,ATODERM INTENSIVE BAUME,200 ml,Care,93,"€ 1,447",-22.50%,-20%
ApoDiscounter,NODE,NODE K,150 ml,Care,93,"€ 1,417",-16.22%,-1%
MedPex,HYDRABIO,HYDRABIO SERUM,40 ml,Care,93,"€ 3,091",66.07%,168%
MedPex,SENSIBIO,SENSIBIO DS+ CREAM,40 ml,Care,93,"€ 2,820",151.35%,408%
MPK,ATODERM,ATODERM HUILE DE DOUCHE,1 l,Care,92,"€ 1,755",-4.17%,1%
ApoDiscounter,SENSIBIO,SENSIBIO LAIT,250 ml,Care,91,"€ 1,037",56.90%,43%
